Blog	dirty	dogs	teacher	direction	chose	legs	garden	co	ball	taught	apart	dropped	k	previous	message	beauty	lines	english	november	thanksgiving	wet	flying	facebook	steps	hello	angel	towards	famous	stood	expected	mess	worst	system	celebrate	hell	teeth	practice	chicken	broke	grand	wind	unfortunately	sea	december	blood	y	program	sugar	nearly	holy	reality	parking	discovered	pack	north	absolutely	posts	section	article	herself	doctor	cross	gold	mix	lake	travel	inspired	focus	meaning	machine	buying	ladies	nose	teach	doors	visiting	latest	common	hospital	river	sale	everybody	bear	windows	l	cup	mood	bird	speed	seconds	island	board	changing	easily	brothers	lessons	screen	managed	brings	faces	sky	fix	runs	obviously	key	include	babies	agree	cd	throughout	series	race	la	player	asleep	based	actual	consider	animals	shut	literally	bottle	blow	likely	tiny	shape	possibly	checking	hadn	pre	build	available	radio	ate	falling	plays	nature	crowd	row	cards	adventure	copy	birth	relationship	charge	heat	comfortable	gifts	checked	basically	creative	slightly	scary	interest	familiar	online	beyond	presents	suppose	remembered	roll	clock	sell	horse	success	laid	weight	doubt	allow	blogs	cried	example	magic	south	soft	hungry	ya	wanting	push	reminds	bathroom	hearts	million	breath	clearly	official	candy	passing	cars	price	whose	v	pray	result	paying	saved	fat	ticket	whom	forgotten	lie	library	journey	strength	dr	points	tea	breaking	joined	ends	handle	perfectly	attempt	f	brand	notes	tour	storm	families	ups	drinking	member	regular	fashion	gas	goal	hole	seat	uncle	fighting	signs	bath	okay	classic	effort	pair	september	promised	grateful	advice	plenty	february	training	involved	schedule	harder	ending	younger	address	riding	easter	dressed	faster	cheap	sold	community	santa	results	kiss	according	boring	reminded	artist	lesson	willing	van	truck	america	sisters	catching	flat	issue	evil	concert	describe	halloween	contact	challenge	collection	items	freedom	film	prepared	barely	heads	kill	anniversary	whenever	james	content	background	disappointed	mountain	grandma	sang	sand	aunt	sometime	flight	swing	sight	jesus	spread	hall	till	nervous	orange	camp	angry	shall	bike	extremely	fans	purpose	holidays	lord	release	rolling	continued	terrible	nap	progress	comfort	nobody	helps	cost	nor	grew	fantastic	numbers	w	de	milk	wise	response	falls	sharing	raise	officially	becoming	certainly	j	mid	plane	moon	throwing	grade	otherwise	excuse	master	swimming	letters	yours	heading	impossible	addition	picking	walls	hardly	daddy	guest	interview	rocks	remind	besides	character	tall	account	smell	social	calm	bags	ring	image	faith	paint	greatest	health	folks	waste	lay	wide	tag	pants	bringing	laughed	period	term	states	bill	per	national	shower	review	album	blame	mini	opinion	bedroom	rule	plastic	edge	rich	houses	michael	hide	effect	wash	unique	animal	finishing	airport	pleasure	eve	listened	ear	emotional	classes	midnight	pages	force	fellow	text	york	apple	traffic	shared	quote	jack	yard	joke	finger	kinds	yellow	ah	accept	birds	pure	serve	invited	subject	aside	mirror	normally	currently	garage	block	cheese	compared	goodbye	clouds	grass	pics	leg	blast	offered	bored	shoot	honestly	delicious	happiness	related	student	forced	jumped	meal	via	draw	upset	signed	lyrics	french	stomach	excitement	discussion	pulling	position	expensive	knowledge	bet	apartment	hi	neither	students	path	enter	reached	painting	loose	among	credit	blessed	obvious	visited	healthy	east	projects	receive	generally	flower	various
*It's mY MoM's fAuLt*	10	4	2	1	3	3	4	0	6	2	0	4	1	0	0	0	0	1	0	0	7	1	2	4	3	3	2	0	2	3	4	10	1	2	17	6	2	4	4	0	1	1	0	1	1	0	3	2	9	0	2	3	9	2	0	1	0	3	0	2	0	2	1	3	11	2	1	2	1	5	2	1	5	0	1	2	0	2	5	5	5	0	4	3	0	0	3	2	0	4	1	2	1	1	6	2	1	12	0	4	2	2	3	0	0	1	23	2	0	0	1	3	0	0	9	2	1	2	4	1	1	4	3	0	4	3	2	1	2	1	0	1	1	11	6	1	2	0	2	0	4	1	9	3	1	0	2	5	0	0	1	3	3	0	1	0	2	2	1	1	2	0	5	1	1	5	1	2	4	0	14	1	3	0	4	1	1	2	1	2	1	5	4	6	7	1	8	1	3	1	2	0	3	1	1	1	15	1	2	1	4	0	0	2	3	1	0	0	1	4	1	1	1	3	0	0	3	2	1	0	10	1	2	2	3	1	6	1	0	3	3	5	0	1	2	2	0	4	3	1	1	1	1	2	2	3	3	0	0	3	4	1	2	0	3	1	7	0	5	0	0	3	0	0	2	0	2	0	0	1	4	1	3	3	1	2	4	2	2	1	1	0	1	6	2	4	1	2	1	3	2	3	2	3	1	9	0	0	0	1	5	4	1	0	7	2	3	9	11	4	1	0	0	2	2	2	0	1	0	9	5	0	1	0	2	3	0	1	5	3	0	0	4	0	0	5	1	1	1	2	3	0	0	2	7	2	4	3	2	3	9	0	1	0	2	0	1	1	2	5	0	1	3	2	1	1	2	2	5	0	2	2	2	1	6	5	3	1	2	3	5	1	1	8	0	12	1	0	0	3	1	0	5	3	0	2	3	2	0	1	0	1	0	8	0	3	0	3	1	7	0	0	0	0	1	2	0	1	1	1	1	0	0	0	1	1	2	0	0	8	0	6	0	5	0	3	1	1	1	1	2	0	1	1	0	2	1	5	0	4	0	3	6	0	0	1	0	2	0	2	8	1	1	4	3	2	0	0	2	0	0	1	1	0	2	1	1	0	1	3	1	3	3	0	2	0	0	1	4	0	0	0	1	0	3	0	0	1	2	2	0
notjustbarbra	1	8	47	8	13	8	10	2	12	20	5	9	6	8	13	6	5	1	2	8	3	13	9	4	18	4	1	4	3	6	9	5	6	6	1	12	16	13	4	3	16	8	4	3	3	14	5	6	8	4	9	5	8	9	12	14	8	9	11	25	6	2	4	3	7	11	9	12	3	7	3	5	1	9	4	10	3	3	10	7	3	7	3	12	17	11	9	1	5	2	1	8	7	4	3	9	4	8	2	6	4	2	4	6	6	5	11	12	6	4	25	7	15	9	13	8	3	1	9	2	4	1	1	5	6	10	5	1	7	7	2	7	8	13	6	5	3	5	11	11	7	2	5	16	7	4	6	19	3	6	4	2	8	4	5	5	2	15	0	6	10	3	6	10	5	2	3	3	7	13	17	17	6	1	4	3	8	7	13	3	9	8	5	9	10	1	17	3	18	6	4	9	2	2	2	1	0	8	8	3	3	12	13	4	3	1	6	4	3	4	6	3	5	5	3	12	7	2	7	6	3	8	7	4	6	5	3	8	7	5	2	3	35	6	4	7	3	1	2	13	5	4	6	10	12	1	12	17	2	7	9	17	0	1	3	7	18	2	1	2	14	10	4	4	8	6	0	6	7	8	4	9	1	15	4	22	1	5	9	4	4	26	2	5	5	5	9	6	3	3	5	1	16	32	18	3	4	2	4	7	5	3	3	5	0	16	14	15	3	1	4	3	11	2	1	6	4	2	6	5	8	5	7	6	6	4	5	4	11	8	4	6	6	4	4	4	6	4	1	3	8	5	4	4	2	5	30	5	6	5	15	3	2	7	4	5	5	7	3	39	7	0	3	4	6	17	10	1	8	4	5	5	3	7	1	4	1	4	2	5	0	5	2	3	5	4	10	3	7	3	2	4	8	30	1	4	1	5	3	2	9	5	0	7	4	7	2	8	7	4	3	7	3	6	10	3	3	12	4	2	0	5	2	2	6	3	6	4	8	18	2	12	3	7	19	1	3	5	3	4	4	6	4	7	0	3	0	5	2	12	2	3	0	5	1	6	7	4	1	3	5	12	3	2	1	3	1	3	4	3	5	9	6	2	9	6	3	3	3	7	0	6	9	31	3	1	1	1	3	7	1	3	2	13	1	4	9	1	2	11	7
GIMME TINNITUS blogspot	18	16	0	4	2	7	2	5	1	0	0	4	65	2	2	0	1	2	9	1	5	20	2	0	18	5	0	1	0	1	4	3	3	4	20	5	0	5	4	8	2	7	12	5	34	25	0	8	0	30	2	3	1	6	16	3	228	11	2	0	0	8	18	124	3	1	5	6	1	18	3	12	3	0	3	0	53	1	2	18	4	8	55	3	19	1	7	8	3	2	10	3	2	0	8	0	0	0	5	1	8	12	0	0	5	8	13	4	42	0	14	5	38	13	1	22	1	366	6	6	1	2	10	3	8	1	11	9	0	22	4	82	41	0	1	10	1	1	1	3	3	17	1	0	2	3	1	0	13	0	4	14	0	3	1	4	1	7	1	2	14	2	2	2	0	1	0	2	0	11	0	3	17	7	16	1	0	3	3	3	2	9	11	0	0	21	4	1	0	4	1	18	0	3	2	1	8	1	2	2	4	5	2	0	8	13	2	4	0	7	0	0	1	18	4	1	20	4	0	2	1	14	0	2	6	1	2	7	1	1	2	0	0	23	6	2	6	0	0	2	1	10	0	1	1	1	2	0	4	0	0	1	2	5	13	4	2	5	11	11	1	1	14	0	1	6	5	6	8	1	0	4	9	6	3	6	2	0	4	4	4	4	2	2	6	33	3	0	21	3	1	0	12	2	0	4	1	13	2	3	3	20	1	17	0	0	5	0	0	6	3	1	2	1	3	4	52	3	1	3	0	2	5	5	2	1	0	0	2	4	19	22	24	0	2	1	2	1	2	1	2	11	9	1	9	3	0	1	6	7	1	0	5	0	2	2	1	7	8	1	9	25	15	5	5	0	0	0	1	23	0	0	1	4	4	4	6	84	13	8	0	0	4	13	1	0	2	5	15	5	4	14	1	13	225	2	10	1	7	2	4	1	1	0	6	1	1	0	5	16	1	1	15	0	13	21	2	0	1	2	5	1	0	9	2	1	2	11	6	1	5	2	0	12	1	1	8	20	1	1	0	6	10	2	1	7	0	0	3	4	3	1	8	1	2	0	9	2	0	1	0	15	1	0	0	0	28	1	11	8	7	25	0	1	0	0	0	0	10	0	1	4	1	0	0	4	0	0	1	17	4	0	1	1	0	11	5	1	0	3	1
Our Forever Family	0	7	0	0	1	0	1	0	4	3	2	0	0	0	0	0	1	0	1	8	1	0	0	1	1	1	0	0	0	0	0	3	0	1	0	2	1	3	1	0	1	0	0	0	1	0	0	2	0	0	0	3	0	0	0	0	2	3	3	2	13	0	1	1	12	0	0	1	0	1	0	0	7	0	1	2	0	0	5	2	2	0	1	1	0	2	1	3	0	5	1	1	0	0	5	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	5	0	0	7	0	1	0	0	0	0	6	0	0	1	1	0	2	0	1	0	0	1	4	1	3	0	0	0	0	0	0	0	1	2	0	4	3	0	0	1	0	1	1	0	1	0	6	2	0	3	1	1	1	0	0	0	0	0	0	2	0	1	0	0	1	0	4	6	0	2	3	1	1	0	0	3	1	1	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	5	0	0	9	0	0	1	2	1	0	2	0	0	1	2	1	0	4	0	1	1	9	14	3	1	1	0	2	4	0	0	0	1	0	0	1	1	0	5	0	3	0	0	0	1	0	0	11	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	4	19	1	1	3	4	0	0	1	0	0	0	10	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	1	2	0	0	3	0	0	1	0	0	0	2	0	0	0	10	1	2	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	2	0	0	2	1	2	13	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	2	2	1	5	0	1	0	0	0	0	5	0	0	0	3	1	0	0	1	0	4	2	1	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	2	0	1	1	0	0	1	1	36	18	1	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	3	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0
Another Lifetime	0	0	0	1	0	2	2	0	4	0	2	1	1	0	1	1	3	0	0	0	0	1	0	2	8	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	4	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	1	1	0	1	3	1	1	0	0	1	3	0	0	0	0	0	1	2	0	0	1	1	1	3	1	0	0	1	4	0	1	1	2	0	1	2	1	1	6	0	0	0	1	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	1	1	8	2	0	1	0	2	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	3	1	2	0	1	0	1	1	0	0	0	0	0	3	1	0	1	0	2	0	0	0	1	0	2	0	0	0	3	1	0	3	0	2	0	1	0	0	0	0	0	2	2	0	2	0	0	3	2	2	0	1	5	1	1	1	0	0	0	0	0	0	1	0	3	0	1	1	1	1	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	3	3	0	0	1	0	0	0	2	0	0	0	0	1	0	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	1	1	1	0	1	0	4	0	2	2	0	1	2	2	1	1	1	2	0	0	1	0	0	1	1	3	1	0	1	1	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	2	2	0	2	3	1	1	0	0	0	0	0	3	1	0	0	0	2	1	0	0	0	2	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	2	0	0	0	0	2	1	0	0	1	0	2	0	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0
ginny	1	3	2	0	0	0	1	1	1	0	0	1	0	3	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	2	3	0	1	1	1	0	0	0	0	0	0	1	8	0	0	0	0	0	2	2	1	0	2	1	1	1	0	3	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	2	1	0	0	0	5	0	0	0	1	4	4	3	2	3	0	2	6	0	2	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	1	0	0	0	5	0	0	0	0	0	1	1	1	3	0	1	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	5	0	0	1	6	2	0	0	0	1	1	1	0	0	1	1	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	0	1	3	0	0	1	0	2	0	0	0	0	0	0	1	1	3	0	0	2	0	1	0	0	1	0	1	2	0	0	0	4	0	2	0	0	1	0	0	0	2	1	0	3	0	0	1	1	1	2	0	0	1	4	2	0	1	0	2	0	1	0	0	0	0	1	0	1	0	2	0	0	0	1	2	1	0	0	0	0	0	3	0	0	0	3	0	5	0	2	0	0	0	1	1	0	0	2	2	1	0	0	1	1	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	1	0	2	2	1	3	0	0	0	0	2	1	1	2	0	0	0	0	0	2	0	0	1	5	4	0	1	0	2	0	0	0	0	2	1	2	0	0	3	1	0	1	6	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	1	1	0	0	1	0	0	1	1	0	0	0	5	0	1	0	0	2	0	0	0	1	0	0	4	0	0	1	2	1	0	1	0	0	1	2	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	0	1	0	1	1	2	0	2
INDEBTED	3	0	0	3	4	1	0	1	8	2	19	1	43	4	3	9	4	3	3	0	5	4	0	0	1	2	8	2	4	6	0	10	9	4	2	4	1	5	7	2	3	1	2	2	9	3	3	5	16	1	6	1	0	0	2	0	0	9	5	0	7	2	5	4	2	7	5	3	1	4	16	1	11	0	2	0	6	4	7	2	2	22	6	6	6	4	7	0	9	12	1	7	2	11	7	4	9	16	1	3	1	0	5	14	3	3	2	2	5	1	5	6	3	12	2	7	13	3	0	4	4	1	2	5	12	3	0	6	0	3	3	11	11	9	5	1	4	4	1	1	0	5	3	0	1	0	2	1	8	14	1	1	0	6	3	0	2	1	2	5	5	4	3	0	1	0	14	5	2	1	1	8	0	1	3	1	21	6	2	3	1	2	4	2	1	2	0	1	34	41	1	3	4	7	3	13	4	3	0	3	0	2	7	4	1	5	3	6	1	10	5	0	3	16	5	3	1	1	1	0	1	2	0	1	6	0	4	16	4	2	2	3	17	13	2	5	0	4	2	6	1	2	0	7	0	2	4	1	0	1	2	0	7	15	7	2	0	4	0	2	0	0	2	8	1	1	10	1	1	0	2	2	3	0	4	0	4	1	7	2	5	6	1	4	0	3	1	1	3	2	2	2	1	0	2	2	1	0	10	2	3	0	6	5	11	5	3	0	0	6	12	0	0	3	1	0	4	2	0	0	6	4	1	4	0	12	0	2	0	6	3	0	6	1	0	1	1	0	0	0	2	1	5	3	0	2	1	2	3	2	0	4	1	8	1	0	1	0	2	2	0	1	2	3	9	2	3	8	4	1	0	0	1	3	1	2	3	2	2	4	1	2	6	6	1	0	1	7	5	2	13	2	1	0	13	9	87	7	4	1	3	3	4	11	1	2	5	5	2	0	0	4	0	0	3	5	1	2	1	3	2	4	0	0	0	21	1	0	0	1	1	1	0	0	0	4	0	6	1	2	2	5	1	2	18	2	0	0	11	0	2	3	0	2	0	3	3	8	0	2	0	1	2	1	1	5	1	0	2	0	7	2	11	1	2	2	2	16	1	4	3	2	1	0	3	7	6	3	3	9	4	2	5	2	7	5	2	0	0	2	3
Life of Leinbacker	2	1	35	6	2	5	2	2	4	3	4	2	1	5	11	5	1	12	3	6	6	3	12	2	4	2	3	1	0	2	0	2	7	5	1	0	5	0	2	5	3	1	1	6	4	1	33	6	7	7	1	0	4	4	4	6	3	1	1	0	9	4	1	0	11	6	5	11	9	6	3	3	0	17	0	4	3	2	5	8	2	2	0	23	5	2	0	2	1	2	1	5	5	1	1	4	12	6	1	2	1	2	3	2	1	6	0	2	1	0	13	3	1	7	5	1	13	1	6	6	11	0	0	5	7	1	7	3	4	5	2	5	0	2	4	0	5	3	1	3	0	7	0	3	2	4	5	14	7	5	1	4	1	2	3	7	5	0	2	3	2	5	3	8	2	2	5	0	6	10	9	5	1	9	2	0	9	8	4	2	1	5	4	4	4	5	2	3	1	1	11	0	39	10	7	3	2	7	2	7	1	6	3	2	6	2	1	3	3	5	2	0	3	1	0	1	0	1	4	1	3	11	3	3	1	4	1	0	3	4	0	1	20	1	1	3	8	0	2	1	2	9	1	9	7	15	5	7	8	1	2	2	0	8	3	7	0	3	3	4	4	4	0	16	4	0	3	8	8	1	0	5	5	1	1	1	0	1	0	6	0	1	5	4	6	1	3	2	0	15	5	2	1	11	1	2	6	6	7	1	1	27	1	4	0	1	5	6	4	5	0	2	9	3	2	9	2	0	6	7	3	3	5	1	4	7	2	2	2	8	2	3	0	2	4	0	7	2	3	7	6	4	9	4	0	0	24	4	0	3	3	12	1	5	2	3	2	5	4	0	4	44	9	2	5	2	0	8	6	1	2	4	1	2	16	0	1	17	6	1	2	2	4	3	2	3	1	5	17	0	8	2	1	1	8	1	1	1	14	2	1	3	3	4	1	1	2	2	3	1	1	10	2	0	3	0	4	13	2	6	0	1	4	1	4	1	1	2	0	3	1	1	0	0	3	2	1	1	2	4	1	2	0	0	3	4	8	0	5	4	0	2	22	2	4	5	3	2	4	1	2	3	5	3	2	0	6	3	5	2	3	2	5	3	8	6	18	1	4	1	26	1	1	14	5	2	0	6	0	1	1	14	1	3	3	1	0	5	4	0	4
The Being above the Universe	1	2	5	4	4	1	0	0	1	2	6	2	8	1	6	2	4	6	0	0	1	3	7	1	3	0	10	2	0	5	0	2	5	0	2	0	14	2	0	2	2	0	1	4	1	0	2	2	2	0	10	1	0	1	2	2	3	1	3	2	15	2	1	0	0	3	3	8	4	1	1	3	1	2	0	4	2	2	8	0	9	1	0	1	1	0	0	0	2	4	0	1	4	2	4	2	4	0	3	1	0	1	2	6	1	2	0	1	0	2	3	10	3	4	1	4	0	7	0	1	14	0	0	4	0	0	1	1	0	2	1	1	0	1	1	3	5	1	0	0	2	2	0	10	2	0	5	1	1	7	1	0	5	3	4	0	2	0	7	1	2	4	1	0	2	3	4	4	0	15	0	9	1	4	0	2	3	1	0	0	0	0	2	0	0	4	1	4	10	2	2	4	6	5	1	2	6	0	0	2	0	4	7	10	1	0	0	1	0	0	4	0	6	2	0	7	1	1	2	0	1	4	0	1	0	7	1	6	0	4	2	0	1	1	3	1	0	0	8	2	0	4	6	17	2	5	6	4	1	1	0	0	0	1	1	10	0	3	0	1	6	0	0	7	4	0	1	2	2	5	1	1	1	0	2	0	3	10	0	4	5	8	2	1	0	3	0	1	1	0	3	6	2	4	0	5	0	0	2	1	2	14	3	0	21	5	2	11	4	2	0	1	1	13	11	4	1	0	3	10	2	4	0	0	1	3	0	0	0	0	0	0	0	1	2	1	1	5	13	7	0	0	12	0	1	2	2	0	1	3	1	0	2	0	1	0	1	0	1	0	1	1	3	0	7	7	2	2	1	4	3	1	2	4	4	0	0	4	1	4	0	3	1	0	2	0	5	9	5	1	1	1	1	1	0	3	4	4	0	1	0	1	1	0	2	1	0	2	0	0	7	2	0	1	1	2	3	0	0	2	0	3	0	2	0	2	3	5	1	0	2	2	2	0	0	6	2	3	0	1	14	2	1	1	4	10	2	4	3	7	0	1	0	3	3	3	3	1	4	0	4	2	17	0	1	1	0	1	0	2	0	0	2	3	1	0	2	2	0	2	0	2	0	21	1	1	5	0	0	1	8	1	2	0	2	1	0	6	0	0	0
The Oakes	11	9	11	3	33	15	3	23	32	6	5	11	6	2	0	2	2	0	2	15	25	7	0	19	1	2	3	4	10	3	8	2	2	13	0	21	8	11	5	2	8	19	0	1	4	1	2	15	28	0	2	14	4	14	1	8	6	12	1	37	18	5	0	3	29	0	0	1	2	5	6	3	10	4	5	10	1	0	11	15	8	1	12	3	1	21	1	3	2	11	1	5	11	1	4	3	1	3	1	9	2	17	3	2	5	7	6	0	4	10	1	18	0	3	27	1	16	7	13	6	3	10	8	8	6	2	9	11	9	3	3	0	1	36	8	4	1	1	9	4	5	4	5	1	4	4	2	20	10	6	3	0	3	3	1	1	1	19	0	6	7	2	0	6	4	2	6	1	2	12	14	2	3	0	1	4	5	24	12	3	26	2	8	4	0	5	35	0	14	2	1	1	8	1	4	4	1	0	0	8	1	23	1	2	11	3	2	2	3	3	9	4	20	3	0	2	3	2	7	5	2	4	4	5	2	4	18	21	32	2	3	24	27	0	1	18	0	7	0	3	2	0	11	5	13	2	0	7	1	40	33	23	8	2	3	1	33	3	7	10	3	6	3	9	10	7	32	0	1	4	5	3	1	1	0	26	0	4	2	3	1	0	2	5	3	1	3	16	0	3	0	2	18	0	13	2	38	4	6	12	5	18	4	4	1	7	12	28	2	2	75	2	1	2	1	1	0	7	7	6	83	0	5	0	1	1	3	3	3	2	7	0	6	2	1	17	12	1	2	9	0	0	2	9	3	5	4	4	6	2	16	6	3	13	0	1	14	2	8	109	0	1	12	3	4	3	2	0	2	0	6	9	2	0	0	24	8	0	0	1	11	7	5	13	4	15	0	0	5	3	0	10	5	3	0	4	5	7	6	1	9	2	7	2	102	12	1	5	0	11	9	10	2	7	1	13	0	1	3	1	0	0	0	0	4	3	4	9	18	31	2	9	5	8	9	0	0	0	2	10	2	2	5	4	14	11	5	22	1	3	1	7	0	5	33	8	4	14	7	4	1	0	5	2	13	5	0	1	5	2	0	1	2	5	3	5	3	0	0	6	1	3	1	17	1	2	1	14	5	0	3	0	2	1	4	1	1	1	0	4	1
*Sweets*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Is it reality or a dream?	0	0	0	1	9	2	0	1	4	1	5	2	9	1	7	1	0	0	1	0	0	6	1	0	1	5	2	0	5	3	0	1	1	1	8	1	2	1	1	4	2	0	7	1	1	0	0	3	2	0	5	0	1	2	1	0	0	0	2	0	0	3	1	0	0	1	3	1	1	1	0	0	0	0	0	0	3	1	1	3	0	7	0	0	0	4	5	0	2	1	4	1	1	2	0	0	2	0	2	0	6	0	0	0	4	0	0	2	0	1	2	3	6	0	1	0	0	1	0	1	0	4	0	1	4	0	1	4	0	3	2	2	0	1	4	0	0	1	1	0	1	0	1	10	0	0	6	0	3	1	2	1	0	1	3	1	4	0	2	1	1	4	0	0	0	0	5	1	1	0	4	0	4	1	4	1	1	1	2	0	1	1	1	3	0	0	0	4	1	1	3	0	1	1	2	4	1	1	2	3	8	0	6	4	1	1	7	2	1	0	6	1	1	1	7	1	3	0	1	1	1	0	0	0	0	1	0	0	3	2	1	0	1	0	6	0	1	0	1	1	6	1	1	1	4	2	1	0	1	1	0	1	2	0	0	0	1	0	7	0	0	16	1	2	5	0	0	0	0	1	5	2	0	0	1	0	1	4	0	2	2	0	6	2	0	1	2	9	0	2	2	1	1	0	0	0	0	0	2	0	2	0	1	0	0	1	1	0	3	1	1	1	1	0	0	0	1	2	2	0	1	1	5	3	1	1	3	3	0	0	0	3	3	1	5	0	2	6	1	1	0	1	2	1	1	0	0	3	2	0	1	1	1	2	1	2	2	0	1	0	2	0	1	1	4	4	0	1	3	1	7	0	1	2	2	0	0	3	0	2	1	6	0	1	3	0	1	2	1	0	5	0	1	5	1	2	1	0	1	2	6	1	0	0	1	0	1	1	2	0	3	3	5	3	0	0	4	0	0	0	0	1	0	1	1	3	6	7	0	0	1	0	2	2	2	1	0	0	0	2	2	1	2	0	0	0	0	1	0	5	0	1	0	0	0	1	2	0	1	3	0	3	0	2	0	2	5	1	1	1	0	2	1	1	3	1	2	0	0	2	7	0	0	0	3	0	3	1	0	7	0	0	0	3	1	1	2	1	0	3	0
